subject,trial,condition,sample,Pz,CPz,Fz,FCz,Cz
78.0,100.0,3.0,1587.0,3.3506,4.7713,5.4477,2.8292,4.8543
78.0,100.0,3.0,1588.0,3.918,5.106,7.3382,3.0112,5.5755
78.0,100.0,3.0,1589.0,4.3731,5.9876,7.6771,2.8917,5.8168
78.0,100.0,3.0,1590.0,3.3636,4.8201,6.044,2.0677,5.7375
78.0,100.0,3.0,1591.0,0.8931,1.2347,2.494,-0.9723,2.8413
78.0,100.0,3.0,1592.0,0.677,1.1539,4.2237,-0.7093,3.3095
78.0,100.0,3.0,1593.0,3.1893,4.0211,6.3319,1.499,6.4933
78.0,100.0,3.0,1594.0,3.153,4.3143,4.3481,0.4369,5.5218
78.0,100.0,3.0,1595.0,0.6959,2.3447,2.5686,-1.1587,3.0143
78.0,100.0,3.0,1596.0,0.4176,1.9795,4.4345,0.0355,4.1221
78.0,100.0,3.0,1597.0,1.8892,3.4394,6.3241,1.7069,5.6613
78.0,100.0,3.0,1598.0,1.0756,3.2968,6.9095,2.1405,4.4162
78.0,100.0,3.0,1599.0,0.6985,3.0913,6.8676,2.1873,3.7593
78.0,100.0,3.0,1600.0,2.8844,4.8044,8.6726,3.7693,5.9457
78.0,100.0,3.0,1601.0,6.2484,7.5699,10.8856,5.7077,9.3142
78.0,100.0,3.0,1602.0,8.5573,10.1837,12.8886,7.882,11.98
78.0,100.0,3.0,1603.0,8.5105,10.4385,13.584,9.0273,12.131
78.0,100.0,3.0,1604.0,9.6725,11.3013,13.5316,10.1696,13.5622
78.0,100.0,3.0,1605.0,11.4628,11.9348,13.1622,10.286,13.768
78.0,100.0,3.0,1606.0,10.1112,9.9073,11.9045,7.0614,11.1077
78.0,100.0,3.0,1607.0,7.4978,7.448,9.2271,4.2563,7.7747
78.0,100.0,3.0,1608.0,6.0686,5.3349,6.229,0.8442,5.623
78.0,100.0,3.0,1609.0,3.2705,2.0974,4.159,-2.2718,3.3221
78.0,100.0,3.0,1610.0,2.5768,2.4337,5.0697,-0.9039,3.8071
78.0,100.0,3.0,1611.0,3.1608,3.2518,5.0927,-0.5612,4.3902
78.0,100.0,3.0,1612.0,3.9465,4.4612,4.8773,-0.3602,4.8758
78.0,100.0,3.0,1613.0,5.1512,5.6826,4.5478,-0.4072,4.9654
78.0,100.0,3.0,1614.0,5.9949,6.1864,5.7955,0.2471,6.0305
78.0,100.0,3.0,1615.0,6.9911,7.6409,8.3242,2.1428,8.3106
78.0,100.0,3.0,1616.0,7.1408,8.3784,9.0666,2.1535,7.695
78.0,100.0,3.0,1617.0,7.6998,8.8217,8.8501,3.1369,7.9547
78.0,100.0,3.0,1618.0,7.1294,8.4796,7.5404,3.5249,8.2776
78.0,100.0,3.0,1619.0,9.2436,10.4796,8.654,4.9965,10.5677
78.0,100.0,3.0,1620.0,11.6835,12.0506,10.9312,6.8955,12.9794
78.0,100.0,3.0,1621.0,9.959,10.1283,9.6379,5.4731,11.2409
78.0,100.0,3.0,1622.0,8.0676,8.3619,8.6326,4.1285,9.3479
78.0,100.0,3.0,1623.0,7.0403,7.0306,8.5239,3.4391,8.2098
78.0,100.0,3.0,1624.0,7.8423,7.5758,9.4458,4.5179,9.4383
78.0,100.0,3.0,1625.0,7.9787,7.6874,10.2812,4.9106,10.6964
78.0,100.0,3.0,1626.0,9.3431,9.1323,10.0182,6.3068,12.0173
78.0,100.0,3.0,1627.0,9.1435,9.127,6.5565,5.2071,10.7891
78.0,100.0,3.0,1628.0,7.1393,7.8428,2.7393,3.1325,9.6215
78.0,100.0,3.0,1629.0,6.2293,7.1607,1.4244,2.1707,7.6887
78.0,100.0,3.0,1630.0,4.4711,4.8773,-0.16,0.1551,4.9504
78.0,100.0,3.0,1631.0,3.5231,4.2078,-1.3216,-0.4586,4.5124
78.0,100.0,3.0,1632.0,4.2644,5.2038,0.8565,0.8808,5.0191
78.0,100.0,3.0,1633.0,2.7724,3.8022,1.5959,-0.0106,3.2273
