subject,trial,condition,sample,Fz,FCz,Cz,CPz,Pz, time_ms
29.0,100.0,1.0,1589,-4.152,2.9856,8.9305,10.4112,5.9281,50.7813
29.0,70.0,3.0,1589,-1.221,-1.6474,-4.1888,-7.0094,-2.5331,50.7813
29.0,70.0,2.0,1589,6.8995,3.789,-3.5076,2.2002,3.9422,50.7813
29.0,70.0,1.0,1589,4.2648,2.7783,1.0293,-1.2016,2.1375,50.7813
29.0,6.0,3.0,1589,10.722,11.212,6.6653,2.9228,-0.8557,50.7813
29.0,6.0,2.0,1589,14.2217,12.2348,11.7856,5.6455,-1.8412,50.7813
29.0,6.0,1.0,1589,5.1132,6.9556,10.4105,12.972,9.7309,50.7813
29.0,71.0,1.0,1589,9.2502,12.2232,8.8318,13.6545,13.0263,50.7813
29.0,69.0,3.0,1589,-10.6543,-9.0726,-6.2814,-3.65,-7.8051,50.7813
29.0,69.0,1.0,1589,-4.8263,0.9567,5.7352,11.0019,9.3973,50.7813
29.0,68.0,3.0,1589,6.4583,2.8304,-1.0765,4.4326,3.9469,50.7813
29.0,68.0,2.0,1589,-9.8082,-4.5515,0.8276,2.1484,3.9981,50.7813
29.0,68.0,1.0,1589,6.9311,8.9846,6.2048,7.9239,7.5965,50.7813
29.0,67.0,3.0,1589,0.8905,2.475,0.0618,1.3857,4.1419,50.7813
29.0,67.0,2.0,1589,-2.6136,-0.308,-3.2493,2.6853,-1.6452,50.7813
29.0,69.0,2.0,1589,6.3993,9.8072,14.0526,10.1837,12.2041,50.7813
29.0,67.0,1.0,1589,9.8142,13.2654,12.8698,9.3887,4.1477,50.7813
29.0,71.0,2.0,1589,14.4365,11.5898,4.5785,1.2155,-2.0822,50.7813
29.0,72.0,1.0,1589,5.6096,7.2389,5.0172,6.128,6.5092,50.7813
29.0,77.0,2.0,1589,10.0618,8.8003,9.4727,7.9686,5.9828,50.7813
29.0,77.0,1.0,1589,-6.1058,-8.8083,-5.8915,-3.0571,-3.7221,50.7813
29.0,76.0,3.0,1589,11.5896,14.0888,16.8307,18.4323,12.5883,50.7813
29.0,76.0,2.0,1589,-8.1345,-2.2727,-0.338,-4.4456,-6.1693,50.7813
29.0,76.0,1.0,1589,13.8685,21.2635,26.8812,21.7394,19.4994,50.7813
29.0,75.0,2.0,1589,15.7903,12.7508,9.6024,9.8051,-0.3614,50.7813
29.0,71.0,3.0,1589,2.7138,1.6532,5.1503,9.9262,10.0883,50.7813
